Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;
25.06.02;#23C.3047;;Linienpunkt Rahmendurchlass LW=1.0;Punkt;h62;
;#23C.3047;;Rahmendurchlass LW=1.0;Linie;l54;
;#23C.3048;;Rahmendurchlass LW=1.0 links (Symbol);Punkt;b60;
25.06.02;#23C.3049;;Linienpunkt Rahmendurchlass LW=1.0 links;Punkt;h63;
;#23C.3049;;Rahmendurchlass LW=1.0 links;Linie;l55;
;#23C.3050;;Rahmendurchlass LW=1.0 rechts (Symbol);Punkt;b60;
25.06.02;#23C.3051;;Linienpunkt Rahmendurchlass LW=1.0 rechts;Punkt;h64;
;#23C.3051;;Rahmendurchlass LW=1.0 rechts;Linie;l56;
;#23C.3052;;Rahmendurchlass LW=2.0 (Symbol);Punkt;b60;
25.06.02;#23C.3053;;Linienpunkt Rahmendurchlass LW=2.0;Punkt;h65;
;#23C.3053;;Rahmendurchlass LW=2.0;Linie;l57;
;#23C.3054;;Rahmendurchlass LW=2.0 links (Symbol);Punkt;b60;
25.06.02;#23C.3055;;Linienpunkt Rahmendurchlass LW=2.0 links;Punkt;h66;
;#23C.3055;;Rahmendurchlass LW=2.0 links;Linie;l58;
;#23C.3056;;Rahmendurchlass LW=2.0 rechts (Symbol);Punkt;b60;
